join_date,department_name,emp_name,total_salary,salary,bonus
2024-12-26,Sales,Employee_9914,95182,66102,29080.0
2024-12-25,Sales,Employee_3381,73939,48458,25481.0
2024-12-18,Sales,Employee_7504,114308,88335,25973.0
2024-12-18,Sales,Employee_7583,75238,52453,22785.0
2024-12-18,Sales,Employee_5192,54038,41073,12965.0
2024-12-14,Sales,Employee_8670,62663,51400,11263.0
2024-12-13,Sales,Employee_2957,60727,40219,20508.0
2024-12-12,Sales,Employee_1701,85682,67487,18195.0
2024-12-09,Sales,Employee_5459,73293,54821,18472.0
2024-12-02,Sales,Employee_3118,89436,74389,15047.0
2024-12-01,Sales,Employee_2525,57570,33652,23918.0
2024-11-28,Sales,Employee_4718,117507,97564,19943.0
2024-11-24,Sales,Employee_3296,56398,40040,16358.0
2024-11-23,Sales,Employee_2683,55775,43018,12757.0
2024-11-21,Sales,Employee_17,64382,49266,15116.0
2024-11-20,Sales,Employee_5848,65624,42043,23581.0
2024-11-19,Sales,Employee_2319,51044,36621,14423.0
2024-11-17,Sales,Employee_7152,101838,95298,6540.0
2024-11-17,Sales,Employee_5114,95747,73726,22021.0
2024-11-16,Sales,Employee_6162,108582,93887,14695.0
2024-11-08,Sales,Employee_5283,88267,78533,9734.0
2024-11-02,Sales,Employee_5436,115161,87940,27221.0
2024-11-02,Sales,Employee_8830,81489,58015,23474.0
2024-10-31,Sales,Employee_5306,65281,51983,13298.0
2024-10-27,Sales,Employee_8273,71651,43427,28224.0
2024-10-24,Sales,Employee_5779,104726,80535,24191.0
2024-10-22,Sales,Employee_5185,111082,92104,18978.0
2024-10-22,Sales,Employee_4192,87958,68634,19324.0
2024-10-20,Sales,Employee_1780,79838,60255,19583.0
2024-10-12,Sales,Employee_33,64672,52184,12488.0
2024-10-12,Sales,Employee_6598,52437,35870,16567.0
2024-10-10,Sales,Employee_150,109099,91897,17202.0
2024-10-10,Sales,Employee_581,60365,55357,5008.0
2024-10-10,Sales,Employee_4604,56043,48070,7973.0
2024-10-08,Sales,Employee_9416,72847,63380,9467.0
2024-10-04,Sales,Employee_9700,64267,50846,13421.0
2024-09-28,Sales,Employee_8932,52833,39260,13573.0
2024-09-22,Sales,Employee_7964,60509,45987,14522.0
2024-09-21,Sales,Employee_8901,79796,62827,16969.0
2024-09-18,Sales,Employee_1199,62711,54248,8463.0
2024-09-17,Sales,Employee_7164,80213,72680,7533.0
2024-09-17,Sales,Employee_6716,80168,59030,21138.0
2024-09-16,Sales,Employee_6296,87173,77201,9972.0
2024-09-12,Sales,Employee_8501,60899,37928,22971.0
2024-09-06,Sales,Employee_8419,64045,45014,19031.0
2024-09-05,Sales,Employee_1771,70720,42836,27884.0
2024-08-29,Sales,Employee_3963,109574,96973,12601.0
2024-08-28,Sales,Employee_1515,54474,30051,24423.0
2024-08-15,Sales,Employee_3867,72372,43704,28668.0
2024-08-13,Sales,Employee_8070,79031,51910,27121.0
2024-08-05,Sales,Employee_2585,52722,33261,19461.0
2024-07-22,Sales,Employee_7709,62448,50997,11451.0
2024-07-19,Sales,Employee_6925,69500,45432,24068.0
2024-07-12,Sales,Employee_8085,59676,33608,26068.0
2024-07-06,Sales,Employee_9928,101523,75532,25991.0
2024-07-04,Sales,Employee_9382,86247,76123,10124.0
2024-07-03,Sales,Employee_4310,83056,55649,27407.0
2024-06-22,Sales,Employee_2953,119264,96988,22276.0
2024-06-22,Sales,Employee_4948,90299,81920,8379.0
2024-06-22,Sales,Employee_6213,55706,47344,8362.0
2024-06-12,Sales,Employee_620,107590,98211,9379.0
2024-06-08,Sales,Employee_2848,96031,90784,5247.0
2024-06-07,Sales,Employee_2645,73237,59381,13856.0
2024-06-03,Sales,Employee_5327,85784,69140,16644.0
2024-06-03,Sales,Employee_9170,63802,57394,6408.0
2024-05-30,Sales,Employee_2936,117039,94038,23001.0
2024-05-30,Sales,Employee_641,74226,67855,6371.0
2024-05-27,Sales,Employee_9360,121854,92970,28884.0
2024-05-23,Sales,Employee_4398,47311,33879,13432.0
2024-05-18,Sales,Employee_4106,107784,90563,17221.0
2024-05-06,Sales,Employee_6211,123089,96025,27064.0
2024-05-01,Sales,Employee_9629,110595,93252,17343.0
2024-04-30,Sales,Employee_3803,44196,37006,7190.0
2024-04-28,Sales,Employee_9817,82041,64533,17508.0
2024-04-28,Sales,Employee_4732,77403,52409,24994.0
2024-04-27,Sales,Employee_6744,94455,66294,28161.0
2024-04-23,Sales,Employee_9209,119508,96038,23470.0
2024-04-20,Sales,Employee_224,107724,97917,9807.0
2024-04-20,Sales,Employee_5391,61016,46967,14049.0
2024-04-17,Sales,Employee_6717,86849,81134,5715.0
2024-04-06,Sales,Employee_2612,65906,51157,14749.0
2024-04-03,Sales,Employee_493,121255,91518,29737.0
2024-03-31,Sales,Employee_3112,87468,58429,29039.0
2024-03-30,Sales,Employee_2617,56420,32251,24169.0
2024-03-25,Sales,Employee_1309,72231,63367,8864.0
2024-03-22,Sales,Employee_362,109663,85430,24233.0
2024-03-18,Sales,Employee_8328,51155,36630,14525.0
2024-03-15,Sales,Employee_3758,81859,69931,11928.0
2024-03-14,Sales,Employee_8521,72109,65867,6242.0
2024-03-10,Sales,Employee_2457,116880,86902,29978.0
2024-03-06,Sales,Employee_3923,111925,82082,29843.0
2024-03-01,Sales,Employee_4935,60490,42501,17989.0
2024-02-28,Sales,Employee_1567,97612,67682,29930.0
2024-02-27,Sales,Employee_7342,61883,49089,12794.0
2024-02-25,Sales,Employee_8963,41921,33567,8354.0
2024-02-20,Sales,Employee_1146,85674,57491,28183.0
2024-02-14,Sales,Employee_1665,58917,35972,22945.0
2024-02-13,Sales,Employee_5571,121530,98776,22754.0
2024-02-13,Sales,Employee_6639,106532,79939,26593.0
2024-02-12,Sales,Employee_4716,92492,81253,11239.0
2024-02-12,Sales,Employee_8098,82123,72346,9777.0
2024-02-08,Sales,Employee_2817,70422,55046,15376.0
2024-02-08,Sales,Employee_2842,68846,41971,26875.0
2024-01-31,Sales,Employee_7120,49281,33894,15387.0
2024-01-28,Sales,Employee_874,108410,81645,26765.0
2024-01-26,Sales,Employee_5145,77635,50734,26901.0
2024-01-25,Sales,Employee_5070,39170,34094,5076.0
2024-01-21,Sales,Employee_6660,50810,34158,16652.0
2024-01-20,Sales,Employee_5337,67865,58615,9250.0
2024-01-11,Sales,Employee_1782,68454,55221,13233.0
2024-01-05,Sales,Employee_7995,114721,89207,25514.0
2024-01-05,Sales,Employee_7823,101733,77820,23913.0
2024-01-05,Sales,Employee_9326,89298,61535,27763.0
2024-01-04,Sales,Employee_3771,106612,88714,17898.0
2024-01-04,Sales,Employee_8835,90053,76546,13507.0
2024-01-03,Sales,Employee_7557,74944,48405,26539.0
2023-12-26,Sales,Employee_2539,56350,45749,10601.0
2023-12-22,Sales,Employee_4923,105223,82123,23100.0
2023-12-20,Sales,Employee_5021,120552,98447,22105.0
2023-12-17,Sales,Employee_3309,50612,44312,6300.0
2023-12-17,Sales,Employee_4347,39938,30218,9720.0
2023-12-15,Sales,Employee_6223,90912,69606,21306.0
2023-12-14,Sales,Employee_4973,60618,35149,25469.0
2023-12-12,Sales,Employee_69,95391,79438,15953.0
2023-12-08,Sales,Employee_145,62060,45437,16623.0
2023-12-02,Sales,Employee_3529,91610,86450,5160.0
2023-11-23,Sales,Employee_872,116330,94022,22308.0
2023-11-22,Sales,Employee_5702,70484,53519,16965.0
2023-11-16,Sales,Employee_5494,50521,38922,11599.0
2023-11-15,Sales,Employee_1578,103929,94934,8995.0
2023-11-15,Sales,Employee_4791,114634,91383,23251.0
2023-11-14,Sales,Employee_4284,104330,95121,9209.0
2023-11-13,Sales,Employee_7713,118225,89416,28809.0
2023-11-06,Sales,Employee_831,112748,89670,23078.0
2023-11-01,Sales,Employee_4010,51429,40515,10914.0
2023-10-29,Sales,Employee_2725,67640,57846,9794.0
2023-10-23,Sales,Employee_8364,71560,50264,21296.0
2023-10-11,Sales,Employee_6936,95639,79956,15683.0
2023-10-10,Sales,Employee_8133,71530,58941,12589.0
2023-10-04,Sales,Employee_8566,64533,58875,5658.0
2023-10-04,Sales,Employee_6780,68691,43403,25288.0
2023-10-02,Sales,Employee_976,52982,38009,14973.0
2023-09-27,Sales,Employee_8734,73137,55525,17612.0
2023-09-26,Sales,Employee_7920,68574,54791,13783.0
2023-09-20,Sales,Employee_5171,70057,53997,16060.0
2023-09-18,Sales,Employee_4818,66315,46453,19862.0
2023-09-16,Sales,Employee_3278,119938,99225,20713.0
2023-09-14,Sales,Employee_2161,64358,51661,12697.0
2023-09-13,Sales,Employee_1920,107037,81901,25136.0
2023-09-11,Sales,Employee_1547,78613,73308,5305.0
2023-09-10,Sales,Employee_9241,80342,70831,9511.0
2023-08-31,Sales,Employee_2862,44202,34487,9715.0
2023-08-26,Sales,Employee_89,112137,96535,15602.0
